hostname;INTERFACE;LINK_STATUS;ADMIN_STATE;DESCRIPTION;IP_ADDRESS;
DC2CFDZEUSA3-02;Vlan2492;up;up, autostate enabled;<> DC2CFDZEUSA3-02  Internet Address is 192.2.156.90/30;;
DC2CFDZEUSA3-02;Vlan2503;up;up, autostate enabled;PRVSHAREDSERVICES_To_ DC2ZEUSA2-01  Internet Address is 192.4.148.22/30;;
DC2CFDZEUSA3-02;Vlan3001;up;up, autostate enabled;OUTSOURCING_SERVICES  Internet Address is 173.1.1.253/23;;
DC2CFDZEUSA3-02;Vlan3002;up;up, autostate enabled;OUTSOURCING_SERVICES  Internet Address is 173.1.3.253/23;;
DC2CFDZEUSA3-02;Vlan3003;up;up, autostate enabled;OUTSOURCING_SERVICES  Internet Address is 173.1.5.253/23;;
DC2CFDZEUSA3-02;Vlan3004;up;up, autostate enabled;OUTSOURCING_SERVICES  Internet Address is 173.1.7.253/23;;
DC2CFDZEUSA3-02;Vlan3005;up;up, autostate enabled;OUTSOURCING_SERVICES  Internet Address is 173.1.9.253/23;;
DC2CFDZEUSA3-02;Vlan3006;up;up, autostate enabled;OUTSOURCING_SERVICES  Internet Address is 173.1.11.253/23;;
DC2CFDZEUSA3-02;Vlan3007;up;up, autostate enabled;OUTSOURCING_SERVICES  Internet Address is 173.1.13.253/23;;
DC2CFDZEUSA3-02;Vlan3008;up;up, autostate enabled;OUTSOURCING_SERVICES  Internet Address is 173.1.15.253/23;;
DC2CFDZEUSA3-02;Vlan3009;up;up, autostate enabled;OUTSOURCING_SERVICES  Internet Address is 173.1.17.253/23;;
DC2CFDZEUSA3-02;Vlan3010;up;up, autostate enabled;OUTSOURCING_SERVICES  Internet Address is 173.1.19.253/23;;
DC2CFDZEUSA3-02;Vlan3011;up;up, autostate enabled;OUTSOURCING_SERVICES  Internet Address is 173.1.21.253/23;;
DC2CFDZEUSA3-02;Vlan3012;up;up, autostate enabled;OUTSOURCING_SERVICES  Internet Address is 173.1.23.253/23;;
DC2CFDZEUSA3-02;Vlan3013;up;up, autostate enabled;OUTSOURCING_PROVIDER13_DC2  Internet Address is 173.1.25.252/23;;
DC2CFDZEUSA3-02;Vlan3014;up;up, autostate enabled;OUTSOURCING_GIMS-SGGSC1_DC2  Internet Address is 173.1.27.252/23;;
DC2CFDZEUSA3-02;Vlan3015;up;up, autostate enabled;OUTSOURCING_GIMS-SGGSC2_DC2  Internet Address is 173.1.29.252/23;;
